last_name,first_names,url,deceased
Cook,William R.,http://www.cs.utexas.edu/~wcook/,2021
Dahl,Ole-Johan,http://heim.ifi.uio.no/~olejohan/,2002
Dijkstra,Edsger W.,http://www.cs.utexas.edu/users/EWD/,2002
Duncan,Fraser,,
Brinch Hansen,Per,http://brinch-hansen.net/,2007
Horning,Jim,http://www.horning.net/pro-home.html,2013
Cheatham Jr,Thomas E.,http://www.news.harvard.edu/gazette/2007/04.26/15-mm.html,2001
Sergeevich Lavrov,Svyatoslav,http://www.pdmi.ras.ru/ssl/lavrov.htm,
Lehman,M.,http://www.doc.ic.ac.uk/~mml/,2011
Lyubimsky,Eduard Z.,,2008
Mealy,George H.,,2010
Naur,Peter,,2016
Nelson,Greg,http://research.compaq.com/SRC/staff/gnelson/bio.html,2015
Radin,George,,2013
Reynolds,John C.,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/jcr/www/,2013
Ross,Douglas T.,http://www.legacy.com/bostonglobe/DeathNotices.asp?Page=Lifestory&amp;PersonId=86341586,2007
Sintzoff,Michel,http://www.info.ucl.ac.be/people/cvsintzo.html,2010
van de Snepscheut,Jan L.A.,http://en.wikipedia.org/wiki/Jan_L._A._van_de_Snepscheut,1994
Strachey,Christopher,http://vmoc.museophile.com/pioneers/strachey.html,1975
Turski,Wladyslaw,http://www.mimuw.edu.pl/wydzial/organizacja/pracownicy/wladyslaw.turski.xml,2013